video_name,mean_qp,quant,Resolution,Framerate,context,p1204_3_score,mos,ci,std,video_width,video_height,video_bitrate,video_codec,src,p1204_3_score_linearly_mapped
3840_2160_3000K_av1_Center_Panorama.mkv,128.91,0.5055294117647059,8294400,60,TV,4.2669261988549465,4.380952380952381,0.3165029166236114,0.7400128699009549,3840,2160p,3000.0,av1,Center_Panorama,4.069108661447527
3840_2160_3000K_av1_DevilMayCry5_P2.mkv,219.89666666666668,0.8623398692810458,8294400,60,TV,3.488117540034009,3.0476190476190474,0.2861493232218595,0.6690433824641325,3840,2160p,3000.0,av1,DevilMayCry5_P2,3.0545733345285573
3840_2160_3000K_av1_Fireworks.mkv,249.61,0.9788627450980392,8294400,60,TV,2.9585547918852573,2.857142857142857,0.3390906086749157,0.7928249671720919,3840,2160p,3000.0,av1,Fireworks,2.3647246666534767
3840_2160_3000K_av1_Flowers.mkv,204.98166666666663,0.8038496732026144,8294400,60,TV,3.686059847679509,3.4761904761904763,0.4407387420897599,1.0304876330673562,3840,2160p,3000.0,av1,Flowers,3.3124280226136245
3840_2160_3000K_av1_PES2019v2_P2.mkv,194.29666666666665,0.7619477124183006,8294400,60,TV,3.806027185187684,3.0,0.4057510929847505,0.9486832980505138,3840,2160p,3000.0,av1,PES2019v2_P2,3.468706590654608
3840_2160_40000K_av1_Center_Panorama.mkv,57.35,0.2249019607843137,8294400,60,TV,4.47518191649958,4.285714285714286,0.3352151601561832,0.7837638128197257,3840,2160p,40000.0,av1,Center_Panorama,4.340398380931656
3840_2160_40000K_av1_DevilMayCry5_P2.mkv,63.20333333333333,0.2478562091503268,8294400,60,TV,4.464458956283587,4.190476190476191,0.3733264732457246,0.8728715609439697,3840,2160p,40000.0,av1,DevilMayCry5_P2,4.326429838305613
3840_2160_40000K_av1_Fireworks.mkv,168.00833333333333,0.6588562091503267,8294400,60,TV,4.039051263916017,4.142857142857143,0.433766164073712,1.01418510567422,3840,2160p,40000.0,av1,Fireworks,3.7722614589974315
3840_2160_40000K_av1_Flowers.mkv,75.80666666666667,0.297281045751634,8294400,60,TV,4.43840338784767,4.523809523809524,0.2572975153832486,0.6015852075182383,3840,2160p,40000.0,av1,Flowers,4.292487875357727
3840_2160_40000K_av1_PES2019v2_P2.mkv,82.14166666666667,0.3221241830065359,8294400,60,TV,4.423602721576289,4.666666666666667,0.2065983441015205,0.4830458915396479,3840,2160p,40000.0,av1,PES2019v2_P2,4.2732074030309475
3840_2160_8000K_av1_Center_Panorama.mkv,98.05833333333334,0.3845424836601307,8294400,60,TV,4.3805620735651445,4.190476190476191,0.3733264732457246,0.8728715609439697,3840,2160p,8000.0,av1,Center_Panorama,4.217139385031637
3840_2160_8000K_av1_DevilMayCry5_P2.mkv,156.57666666666665,0.6140261437908496,8294400,60,TV,4.118030163145807,4.333333333333333,0.3662597180145699,0.8563488385776752,3840,2160p,8000.0,av1,DevilMayCry5_P2,3.875145373348233
3840_2160_8000K_av1_Fireworks.mkv,227.43,0.8918823529411765,8294400,60,TV,3.372562007128728,3.6666666666666665,0.3123473370116407,0.7302967433402214,3840,2160p,8000.0,av1,Fireworks,2.9040419183385513
3840_2160_8000K_av1_Flowers.mkv,162.565,0.6375098039215686,8294400,60,TV,4.078123527771664,3.9,0.3453800884311548,0.7880689256524124,3840,2160p,8000.0,av1,Flowers,3.8231599583082456
3840_2160_8000K_av1_PES2019v2_P2.mkv,154.10166666666666,0.6043202614379085,8294400,60,TV,4.133637273334612,3.857142857142857,0.3390906086749157,0.792824967172092,3840,2160p,8000.0,av1,PES2019v2_P2,3.8954763807893045
